id,Geographic Area Name,HOUSEHOLDS_TOT,HOUSEHOLDS_10K_PER,HOUSEHOLDS_10-14.99K_PER,HOUSEHOLDS_15K-24.99K,HOUSEHOLDS_25-34.99K_PER,HOUSEHOLDS_35-44.99K_PER,HOUSEHOLDS_50-74.99K_PER,HOUSEHOLDS_75-99.99K_PER,HOUSEHOLDS_100-149.99K_PER,HOUSEHOLDS_150-199.99K_PER,HOUSEHOLDS_200KPLUS_PER,HOUSEHOLDS_MEDINC_DOLLARS,HOUSEHOLDS_MEANINC_DOLLARS
36001000100,"Census Tract 1, Albany County, New York",800,8.4,4.9,25.1,11.9,15,17.3,11,4.9,0.9,0.8,32389,47017
36001000200,"Census Tract 2, Albany County, New York",2213,18,10,15.2,20.9,6,7.7,6.4,9.5,0.7,5.7,27714,56158
36001000300,"Census Tract 3, Albany County, New York",2362,7.9,3.3,22.1,5.6,21,12.5,14.1,10,0.3,3.1,45272,56132
36001000401,"Census Tract 4.01, Albany County, New York",997,4.2,2.7,4.9,11.7,15.3,13.2,11.3,18.4,5.4,12.7,74274,97583
36001000403,"Census Tract 4.03, Albany County, New York",2186,2.7,3.8,6,13.5,11.8,12.8,19,15.6,9.7,5,74426,88006
36001000404,"Census Tract 4.04, Albany County, New York",15,0,100,0,0,0,0,0,0,0,0,0,0
36001000501,"Census Tract 5.01, Albany County, New York",1433,16.2,14.2,9.4,15,14.8,11.8,5,7,3.7,2.9,32165,49520
36001000502,"Census Tract 5.02, Albany County, New York",942,3.8,3.6,8.3,14.6,13.8,18.4,10.4,19,2.7,5.4,60263,74201
36001000600,"Census Tract 6, Albany County, New York",1408,28.5,10.8,11.3,7,16.2,20,3.9,1.6,0,0.8,22298,35685
36001000700,"Census Tract 7, Albany County, New York",1485,12.3,9,13.1,13.7,16.9,14.8,7.5,9.5,1.1,2.2,36639,49388
36001000800,"Census Tract 8, Albany County, New York",842,20.1,12.2,15.9,8.6,10.9,23,8.7,0.6,0,0,25872,34518
36001001100,"Census Tract 11, Albany County, New York",893,24.4,15,16.1,4.3,11.3,12.9,5.6,5,4.6,0.8,19766,40191
36001001400,"Census Tract 14, Albany County, New York",2816,11.3,4.6,12.5,10.1,11.8,19.8,9,11.6,4.9,4.4,49602,70649
36001001500,"Census Tract 15, Albany County, New York",2254,12.4,10.8,19.8,8.4,18,9.8,5.2,10.8,4.8,0,32500,46791
36001001600,"Census Tract 16, Albany County, New York",1896,16.4,4.5,8.8,4.9,15.1,19.8,7.1,11.3,4.6,7.5,50417,68485
36001001700,"Census Tract 17, Albany County, New York",1964,7.2,6.6,13.5,6.5,9.6,15,16,8.7,6.3,10.6,63913,85570
36001001801,"Census Tract 18.01, Albany County, New York",3494,3.1,2.3,4.5,10,8.1,13.4,17.3,16.3,13.4,11.8,90043,114711
36001001802,"Census Tract 18.02, Albany County, New York",1849,7.2,4,10.4,6.1,6.4,21.1,19.4,17.8,5.3,2.1,69918,74202
36001001901,"Census Tract 19.01, Albany County, New York",1215,7.1,2.4,1,2.9,7.8,25.1,13.7,25.7,8.4,5.9,82713,92670
36001001902,"Census Tract 19.02, Albany County, New York",1036,2.7,2,6.9,2.4,7.8,26,14.9,20.8,9.2,7.3,81081,97896
36001002000,"Census Tract 20, Albany County, New York",2386,5.5,9.1,7.8,19.4,17.7,16.1,10.3,11.6,1.3,1.3,42791,54014
36001002100,"Census Tract 21, Albany County, New York",990,11.4,3.1,12.6,14.8,11.5,12.5,11.9,11.9,6.9,3.2,47569,75006
36001002200,"Census Tract 22, Albany County, New York",1479,5.9,11,14.9,12.4,13.9,16.7,11.7,7.2,3.2,2.9,39313,57861
36001002300,"Census Tract 23, Albany County, New York",1048,3.2,8.9,26.2,14.7,7,13.1,11.4,8.1,4.3,3.1,31865,58106
36001002500,"Census Tract 25, Albany County, New York",1413,24.2,16,10.6,24.5,7.6,15.2,1,0.8,0,0,24425,26667
36001002600,"Census Tract 26, Albany County, New York",1839,5.2,6.2,19.8,15.4,17.3,12.8,11.4,8.5,2,1.3,38494,50409
36001012700,"Census Tract 127, Albany County, New York",1333,5.9,5.3,16.1,3.2,16.1,11.9,19,18.4,2.8,1.2,55709,66177
36001012800,"Census Tract 128, Albany County, New York",1570,13.4,4.3,13.8,17.2,17.6,16.6,9.7,6.1,1.1,0,36020,43727
36001012900,"Census Tract 129, Albany County, New York",1766,7.9,13.8,15.9,9.3,9.1,26,10,5.3,2.7,0,45597,47702
36001013000,"Census Tract 130, Albany County, New York",2721,1.5,3.7,5.5,4.4,12,31.4,14,16.7,7.9,2.8,67208,80114
36001013100,"Census Tract 131, Albany County, New York",1261,4.4,1.2,9.3,15.5,16,18.6,11.3,16.6,3.7,3.5,55104,68235
36001013200,"Census Tract 132, Albany County, New York",1605,10,12.2,21.4,11.4,11.4,12.8,10.1,7.4,1.5,1.7,31052,49744
36001013300,"Census Tract 133, Albany County, New York",2232,6.1,6.2,13.7,8.6,14.7,24.7,14.8,7.3,3.3,0.4,50745,55032
36001013400,"Census Tract 134, Albany County, New York",1084,1.8,5.3,15.4,13.7,13,16.2,13.7,14.5,3.8,2.6,52000,67017
36001013503,"Census Tract 135.03, Albany County, New York",1897,1.1,1.5,6.7,5.1,14.2,14.4,13.9,19.4,12.7,10.9,81317,115772
36001013505,"Census Tract 135.05, Albany County, New York",971,1.3,0,0.7,3.5,18.2,14.1,19.8,31.2,6.6,4.5,84353,96923
36001013506,"Census Tract 135.06, Albany County, New York",2888,0.9,1,8.8,10.6,8.9,21.7,17.8,16.1,7.7,6.5,73167,92518
36001013507,"Census Tract 135.07, Albany County, New York",903,4.4,1.3,0.8,2.8,15.5,15.8,19.6,29.9,7.9,2,85972,88778
36001013508,"Census Tract 135.08, Albany County, New York",2593,0.5,0,7.1,5.1,9.2,15.9,15,19,9.7,18.7,93848,121381
36001013601,"Census Tract 136.01, Albany County, New York",3397,2.4,4.9,9.7,4.7,12.1,14.8,16.8,13.4,8.7,12.4,75925,107597
36001013602,"Census Tract 136.02, Albany County, New York",2084,8.1,1.3,7.7,10.8,9.6,16.4,17.9,19.7,3.6,4.9,70139,87128
36001013703,"Census Tract 137.03, Albany County, New York",585,3.9,0,0,4.6,3.2,15.9,25.5,19,17.3,10.6,94960,121359
36001013705,"Census Tract 137.05, Albany County, New York",2736,2.5,3.4,4.1,9.3,8.6,20.1,11.3,24.8,6.3,9.7,80672,95493
36001013706,"Census Tract 137.06, Albany County, New York",758,0.5,3,2.6,3.7,10,7.9,12.5,19.4,17.8,22.4,125694,139390
