id,Geographic Area Name,TOT,NONBIPOC_TOT,BIPOC_TOT,BIPOC_PER,NONBIPOC_PER
36001000100,"Census Tract 1, Albany County, New York",2073,370,1703,0.82,0.18
36001000201,"Census Tract 2.01, Albany County, New York",3125,566,2559,0.82,0.18
36001000202,"Census Tract 2.02, Albany County, New York",2598,184,2414,0.93,0.07
36001000301,"Census Tract 3.01, Albany County, New York",3190,497,2693,0.84,0.16
36001000302,"Census Tract 3.02, Albany County, New York",3496,1916,1580,0.45,0.55
36001000401,"Census Tract 4.01, Albany County, New York",2216,1731,485,0.22,0.78
36001000403,"Census Tract 4.03, Albany County, New York",4418,2823,1595,0.36,0.64
36001000404,"Census Tract 4.04, Albany County, New York",5194,2897,2297,0.44,0.56
36001000501,"Census Tract 5.01, Albany County, New York",3440,1000,2440,0.71,0.29
36001000502,"Census Tract 5.02, Albany County, New York",2841,1562,1279,0.45,0.55
36001000600,"Census Tract 6, Albany County, New York",3500,844,2656,0.76,0.24
36001000700,"Census Tract 7, Albany County, New York",4196,494,3702,0.88,0.12
36001000800,"Census Tract 8, Albany County, New York",2216,306,1910,0.86,0.14
36001001100,"Census Tract 11, Albany County, New York",1826,875,951,0.52,0.48
36001001400,"Census Tract 14, Albany County, New York",3818,2490,1328,0.35,0.65
36001001500,"Census Tract 15, Albany County, New York",4528,2281,2247,0.5,0.5
36001001600,"Census Tract 16, Albany County, New York",4290,2399,1891,0.44,0.56
36001001700,"Census Tract 17, Albany County, New York",4016,2561,1455,0.36,0.64
36001001802,"Census Tract 18.02, Albany County, New York",3728,2602,1126,0.3,0.7
36001001803,"Census Tract 18.03, Albany County, New York",3232,2476,756,0.23,0.77
36001001804,"Census Tract 18.04, Albany County, New York",3473,2575,898,0.26,0.74
36001001901,"Census Tract 19.01, Albany County, New York",2514,1864,650,0.26,0.74
36001001902,"Census Tract 19.02, Albany County, New York",2566,1716,850,0.33,0.67
36001002000,"Census Tract 20, Albany County, New York",5960,2117,3843,0.64,0.36
36001002100,"Census Tract 21, Albany County, New York",3937,1767,2170,0.55,0.45
36001002200,"Census Tract 22, Albany County, New York",2299,1294,1005,0.44,0.56
36001002300,"Census Tract 23, Albany County, New York",2147,616,1531,0.71,0.29
36001002500,"Census Tract 25, Albany County, New York",3208,482,2726,0.85,0.15
36001002600,"Census Tract 26, Albany County, New York",5179,1087,4092,0.79,0.21
36001012700,"Census Tract 127, Albany County, New York",3391,2607,784,0.23,0.77
36001012800,"Census Tract 128, Albany County, New York",3797,2713,1084,0.29,0.71
36001012900,"Census Tract 129, Albany County, New York",3931,2749,1182,0.3,0.7
36001013000,"Census Tract 130, Albany County, New York",7028,5989,1039,0.15,0.85
